proxy,latency_s,speed_mb_s,score
4.156.78.45:80,0.639,3.287,5.146
23.237.210.82:80,0.837,2.253,2.691
4.156.78.45:80,0.969,2.335,2.41
143.110.217.153:1080,0.798,1.603,2.008
81.169.213.169:8888,1.14,2.01,1.762
92.67.186.210:80,1.173,1.796,1.53
4.245.123.244:80,1.054,1.496,1.419
108.141.130.146:80,1.246,1.746,1.402
23.247.136.254:80,1.591,2.227,1.4
108.141.130.146:80,1.234,1.31,1.061
4.245.123.244:80,1.35,1.277,0.946
92.67.186.210:80,1.194,1.089,0.912
81.169.213.169:8888,1.357,1.185,0.873
159.65.245.255:80,2.028,1.68,0.828
161.35.82.57:1080,1.59,1.293,0.813
104.248.197.67:1080,1.574,1.239,0.787
147.28.240.215:443,1.723,1.132,0.657
5.45.126.128:8080,1.412,0.872,0.618
90.162.35.34:80,1.617,0.985,0.609
147.28.240.210:80,1.773,0.966,0.545
147.28.240.217:9401,1.688,0.827,0.49
92.67.186.210:80,1.788,0.84,0.47
147.28.240.216:80,1.563,0.674,0.431
147.28.240.214:80,1.778,0.7,0.394
108.141.130.146:80,2.616,1.028,0.393
91.132.92.150:80,1.558,0.592,0.38
78.47.127.91:80,2.772,0.972,0.351
181.174.164.221:80,1.822,0.611,0.335
80.78.30.182:3128,2.801,0.923,0.329
23.247.136.254:80,2.261,0.635,0.281
151.236.24.38:80,1.841,0.518,0.281
161.35.31.237:1080,1.602,0.429,0.268
154.118.231.30:80,3.152,0.817,0.259
80.78.30.182:3128,2.107,0.534,0.254
4.195.16.140:80,3.149,0.795,0.252
147.28.240.217:9443,1.673,0.39,0.233
78.47.127.91:80,3.31,0.744,0.225
41.59.90.168:80,3.154,0.629,0.199
165.22.110.253:1080,4.483,0.879,0.196
190.103.177.131:80,3.334,0.649,0.195
181.174.164.221:80,1.877,0.361,0.192
143.110.190.60:1080,3.938,0.716,0.182
147.28.240.214:9400,1.699,0.306,0.18
47.74.157.194:80,3.369,0.59,0.175
147.28.240.216:9443,1.97,0.339,0.172
64.227.131.240:1080,3.827,0.642,0.168
123.141.181.31:5031,3.717,0.617,0.166
45.146.163.31:80,4.032,0.647,0.161
91.132.92.150:80,2.586,0.392,0.152
103.189.197.139:8080,4.321,0.643,0.149
147.28.240.217:9400,4.799,0.68,0.142
4.195.16.140:80,4.701,0.655,0.139
147.28.240.210:9400,4.841,0.658,0.136
147.28.240.216:443,2.548,0.312,0.123
192.73.244.36:80,5.878,0.707,0.12
147.28.240.218:9443,4.445,0.528,0.119
154.118.231.30:80,5.14,0.595,0.116
147.28.240.218:9400,2.804,0.313,0.111
147.28.240.215:80,3.361,0.359,0.107
151.236.24.38:80,2.569,0.259,0.101
170.130.202.134:3128,5.213,0.52,0.1
147.28.240.210:9401,4.565,0.449,0.098
147.28.240.215:9443,3.002,0.293,0.098
192.73.244.36:80,6.669,0.638,0.096
41.59.90.171:80,4.734,0.426,0.09
147.28.240.218:80,4.05,0.354,0.087
147.28.240.214:443,3.485,0.299,0.086
175.110.114.216:80,2.135,0.165,0.077
45.59.117.2:8080,1.818,0.121,0.067
41.59.90.171:80,7.895,0.524,0.066
42.114.11.222:16000,6.053,0.366,0.06
196.1.93.10:80,8.565,0.505,0.059
59.7.246.4:80,5.653,0.325,0.058
41.59.90.175:80,8.022,0.445,0.055
143.42.66.91:80,8.828,0.475,0.054
90.162.35.34:80,5.255,0.275,0.052
190.145.194.210:8080,8.342,0.414,0.05
4.245.123.244:80,6.549,0.307,0.047
1.54.175.190:16000,6.719,0.312,0.046
147.28.240.218:9401,2.994,0.136,0.046
147.28.240.216:9401,8.089,0.365,0.045
147.28.240.214:9443,8.712,0.342,0.039
147.28.240.217:80,3.403,0.13,0.038
147.28.240.218:443,9.305,0.341,0.037
103.175.238.201:9090,10.677,0.395,0.037
147.28.240.215:9401,8.926,0.316,0.035
147.28.240.214:9401,4.987,0.176,0.035
147.28.240.210:9443,9.814,0.327,0.033
27.71.162.8:1080,9.562,0.288,0.03
202.232.52.162:8080,10.338,0.292,0.028
154.73.29.65:8080,10.609,0.294,0.028
197.243.20.178:80,9.617,0.243,0.025
159.65.245.255:80,13.919,0.336,0.024
152.230.215.123:80,12.64,0.278,0.022
37.187.74.125:80,9.913,0.187,0.019
183.80.54.224:1080,8.04,0.15,0.019
147.28.240.216:9400,5.519,0.098,0.018
49.156.44.117:8080,9.237,0.133,0.014
103.94.52.70:3128,8.525,0.104,0.012
103.180.118.174:6789,14.643,0.157,0.011
133.18.234.13:80,23.206,0.113,0.005
82.102.10.253:80,14.501,0.053,0.004
195.88.71.201:8888,9.324,0.029,0.003
14.241.80.37:8080,15.177,0.039,0.003
159.89.98.131:3128,15.174,0.033,0.002
113.160.132.195:8080,22.696,0.036,0.002
133.18.234.13:80,24.921,0.034,0.001
144.22.175.58:1080,23.814,0.019,0.001
38.54.71.67:80,2.801,0.0,0.0
47.238.134.126:3128,2.484,0.0,0.0
8.211.51.115:5060,4.854,0.0,0.0
89.117.145.245:3128,35.929,0.011,0.0
